 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR        SIGNAL         NOISE         RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
 31      2637.000      191.7360      61.00000      3331.000      9960.752      1.594433      1.672528  0.0004277958  1.369107E-17  2.837900E-18      4.824367      8.073293      1.764045      9963.067      1.684059      19.12751      4.493875  1.655287E-18
 32      2637.000      191.7360      63.00000      3332.000      9961.056      1.642828      1.672609  0.0004407804  1.340458E-17  2.862112E-18      4.683459      7.904116      1.773908      9963.265      1.966282      18.63926      4.260217  1.691847E-18
 33      2637.000      191.7360      65.00000      3332.000      9961.246      2.034545      1.672660  0.0005458802  1.289871E-17  2.819420E-18      4.574953      7.605680      1.743615      9963.262      2.100786      18.93094      4.773937  1.713849E-18
 34      2637.000      191.7360      67.00000      3331.000      9960.971      2.295717      1.672586  0.0006159542  1.274544E-17  2.885665E-18      4.416813      7.515513      1.779112      9962.997      1.966105      17.78583      5.650141  1.723042E-18
 35      2637.000      191.7360      69.00000      3331.000      9960.994      1.909128      1.672593  0.0005122301  1.253050E-17  3.251258E-18      3.854048      7.388752      1.984012      9963.731      2.780532      17.67758      6.666659  1.728580E-18
 36      2637.000      191.7360      71.00000      3332.000      9961.080      2.117360      1.672616  0.0005681001  1.257487E-17  3.118980E-18      4.031725      7.414850      1.909215      9963.421      2.921434      17.21387      6.140836  1.736143E-18
 37      2637.000      191.7360      73.00000      3331.000      9960.985      2.587658      1.672590  0.0006942837  1.242095E-17  3.733226E-18      3.327137      7.324162      2.258812      9962.928      3.372611      15.50128      7.732362  1.753519E-18
 38      2637.000      191.7360      75.00000      3331.000      9960.433      2.196136      1.672442  0.0005892361  1.149904E-17  3.253295E-18      3.534583      6.780922      1.974884      9963.410      2.814888      16.99194      6.565701  1.753293E-18
 39      2637.000      191.7360      77.00000      3331.000      9960.444      2.217939      1.672445  0.0005950860  1.113192E-17  3.226986E-18      3.449633      6.564423      1.956289      9963.104      2.992663      15.52353      7.519440  1.753794E-18
 40      2637.000      191.7360      79.00000      3331.000      9960.637      2.225336      1.672497  0.0005970707  1.176969E-17  3.376283E-18      3.485991      6.940382      2.047924      9962.411      2.666909      16.01184      7.792653  1.755947E-18
 41      2637.000      191.7360      81.00000      3332.000      9961.093      1.852344      1.672619  0.0004969948  1.198990E-17  3.043928E-18      3.938958      7.069912      1.860214      9963.140      2.158868      18.94293      5.543118  1.758534E-18
