 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR         SIGNAL         NOISE          RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
 30      714.0000      187.1910      59.00000      0.000000      0.000000      0.000000      0.000000      0.000000   3.902910E-18  2.596513E-18       1.503135      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.135324E-18
 31      714.0000      187.1910      61.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.016658E-18  2.568678E-18       1.563706      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.139733E-18
 32      714.0000      187.1910      63.00000      0.000000      0.000000      0.000000      0.000000      0.000000   3.780819E-18  2.577958E-18       1.466595      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.139442E-18
 33      714.0000      187.1910      65.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.681786E-18  2.739820E-18       1.708793      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.219105E-18
 34      714.0000      187.1910      67.00000      0.000000      0.000000      0.000000      0.000000      0.000000   3.191208E-18  2.261455E-18       1.411131      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.223030E-18
 35      714.0000      187.1910      69.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.034923E-18  2.751935E-18       1.466213      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.329463E-18
 36      714.0000      187.1910      71.00000      0.000000      0.000000      0.000000      0.000000      0.000000   2.696100E-18  2.412326E-18       1.117635      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.262876E-18
 37      714.0000      187.1910      73.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.153568E-18  2.941314E-18       1.412147      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.288744E-18
 38      714.0000      187.1910      75.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.023918E-18  2.819440E-18       1.427205      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.243810E-18
 39      714.0000      187.1910      77.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.607008E-18  2.872433E-18       1.603870      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.301937E-18
 40      714.0000      187.1910      79.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.654623E-18  3.050653E-18       1.525780      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.318083E-18
 41      714.0000      187.1910      81.00000      0.000000      0.000000      0.000000      0.000000      0.000000   3.856281E-18  2.526250E-18       1.526484      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.278467E-18
 42      714.0000      187.1910      83.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.071861E-18  2.765910E-18       1.472160      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.283084E-18
 43      714.0000      187.1910      85.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.482542E-18  3.112999E-18       1.439943      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.355486E-18
 44      714.0000      187.1910      87.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.630468E-18  2.828153E-18       1.637277      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.407731E-18
 45      714.0000      187.1910      89.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.668411E-18  3.197209E-18       1.460152      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.309836E-18
 46      714.0000      187.1910      91.00000      0.000000      0.000000      0.000000      0.000000      0.000000   5.150809E-18  3.041182E-18       1.693687      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.439466E-18
 47      714.0000      187.1910      93.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.447504E-18  3.156233E-18       1.409118      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.307942E-18
 48      714.0000      187.1910      95.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.438366E-18  3.040379E-18       1.459807      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.377919E-18
 49      714.0000      187.1910      97.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.247050E-18  3.007990E-18       1.411923      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.344394E-18
 50      714.0000      187.1910      99.00000      0.000000      0.000000      0.000000      0.000000      0.000000   4.335823E-18  3.147958E-18       1.377345      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.336777E-18
 51      714.0000      187.1910      101.0000      0.000000      0.000000      0.000000      0.000000      0.000000   3.597986E-18  3.023390E-18       1.190051      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.319324E-18
 52      714.0000      187.1910      103.0000      0.000000      0.000000      0.000000      0.000000      0.000000   4.893390E-18  3.052028E-18       1.603324      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.406074E-18
 53      714.0000      187.1910      105.0000      0.000000      0.000000      0.000000      0.000000      0.000000   4.527847E-18  3.073453E-18       1.473212      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.406128E-18
 54      714.0000      187.1910      107.0000      0.000000      0.000000      0.000000      0.000000      0.000000   5.133293E-18  3.720015E-18       1.379912      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000  1.464833E-18
