 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR        SIGNAL         NOISE         RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
 29      714.0000      187.1910      57.00000      173.0000      3249.043     0.2752491      1.672636  0.0002264176  2.277374E-16  7.984825E-18      28.52128      134.2858      10.40845      3248.750     0.1534069      11.38002     0.4241733  3.647497E-18
 30      714.0000      187.1910      59.00000      173.0000      3249.007     0.3039370      1.672606  0.0002500160  2.461145E-16  8.493359E-18      28.97729      145.1235      11.21249      3248.850     0.1503783      11.65076     0.3964860  4.034458E-18
 31      714.0000      187.1910      61.00000      173.0000      3248.990     0.3340954      1.672592  0.0002748241  2.397469E-16  8.367131E-18      28.65342      141.3695      10.94719      3248.825     0.1536902      11.55364     0.3941888  3.901900E-18
 32      714.0000      187.1910      63.00000      173.0000      3249.059     0.2825956      1.672649  0.0002324608  2.365423E-16  8.446796E-18      28.00379      139.4769      10.85199      3248.817     0.1478859      11.45949     0.3811363  3.856715E-18
 33      714.0000      187.1910      65.00000      173.0000      3249.016     0.3024148      1.672614  0.0002487639  2.467010E-16  8.880877E-18      27.77890      145.4689      11.33756      3248.844     0.1557279      11.52366     0.4196019  4.092694E-18
 34      714.0000      187.1910      67.00000      173.0000      3248.971     0.2968867      1.672576  0.0002442165  2.317713E-16  7.343398E-18      31.56187      136.6674      10.39240      3248.758     0.1311456      11.28868     0.3260912  3.947411E-18
 35      714.0000      187.1910      69.00000      173.0000      3249.046     0.3199906      1.672638  0.0002632216  2.554997E-16  8.693189E-18      29.39079      150.6557      11.60743      3248.838     0.1583095      11.67536     0.3844145  4.235036E-18
 36      714.0000      187.1910      71.00000      173.0000      3249.000     0.2804756      1.672600  0.0002307168  2.234821E-16  7.757260E-18      28.80941      131.7784      10.19329      3248.751     0.1398450      11.18902     0.3494789  3.970171E-18
 37      714.0000      187.1910      73.00000      173.0000      3249.009     0.3133298      1.672607  0.0002577424  2.575938E-16  9.227444E-18      27.91605      151.8923      11.82580      3248.864     0.1811027      11.59391     0.3952880  4.106707E-18
 38      714.0000      187.1910      75.00000      173.0000      3249.034     0.3385871      1.672628  0.0002785189  2.501708E-16  8.851345E-18      28.26359      147.5141      11.45518      3248.850     0.1601369      11.50712     0.4438252  3.980543E-18
 39      714.0000      187.1910      77.00000      173.0000      3249.148     0.3491375      1.672722  0.0002871976  2.604868E-16  8.975200E-18      29.02295      153.5916      11.86302      3248.860     0.1720863      11.69767     0.3863536  4.281475E-18
 40      714.0000      187.1910      79.00000      173.0000      3248.996     0.3531188      1.672597  0.0002904726  2.575227E-16  9.529408E-18      27.02400      151.8509      11.90627      3248.854     0.1828767      11.68579     0.4224199  4.435520E-18
 41      714.0000      187.1910      81.00000      173.0000      3249.016     0.1516346      1.672613  0.0001247333  2.383103E-16  8.040786E-18      29.63769      140.5213      10.80908      3248.804     0.1333689      11.38689     0.3313431  4.418634E-18
 42      714.0000      187.1910      83.00000      173.0000      3249.106     0.2754821      1.672688  0.0002266093  2.481071E-16  8.806389E-18      28.17353      146.2940      11.36798      3248.857     0.1487885      11.52396     0.4158982  4.627397E-18
 43      714.0000      187.1910      85.00000      173.0000      3249.075     0.4073365      1.672662  0.0003350716  2.617948E-16  9.920774E-18      26.38854      154.3663      12.16901      3248.895     0.1747599      11.61113     0.4589237  5.029558E-18
 44      714.0000      187.1910      87.00000      173.0000      3249.114     0.2631299      1.672694  0.0002164485  2.674316E-16  9.131505E-18      29.28669      157.6881      12.15768      3248.912     0.1340659      11.61830     0.3934723  5.342656E-18
