 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR         SIGNAL         NOISE          RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
 14      729.0000      257.7520      27.00000      1049.000      5092.910     0.8753188      1.669646  0.0004588322   7.217769E-18  9.984735E-19       7.228804      4.260737     0.6589027      5091.538     0.8958386      13.69180      2.897292  3.830694E-19
 15      729.0000      257.7520      29.00000      1049.000      5092.740     0.8656975      1.669557  0.0004537888   7.451254E-18  9.536514E-19       7.813394      4.398713     0.6398381      5091.561     0.8326677      13.28945      2.375923  3.863341E-19
 16      729.0000      257.7520      31.00000      1049.000      5092.797     0.7939520      1.669587  0.0004161807   7.636453E-18  1.012177E-18       7.544587      4.507991     0.6738915      5091.530     0.8753312      13.84988      3.201611  3.875012E-19
 17      729.0000      257.7520      33.00000      1049.000      5092.973     0.9704829      1.669679  0.0005087162   7.804613E-18  1.116389E-18       6.990947      4.607102     0.7319277      5091.417     0.8461829      13.95501      3.041712  3.999508E-19
 18      729.0000      257.7520      35.00000      1049.000      5092.968     0.9203037      1.669676  0.0004824128   7.788944E-18  1.046166E-18       7.445230      4.597857     0.6945465      5091.357     0.9059197      13.40303      2.657259  4.060055E-19
 19      729.0000      257.7520      37.00000      1049.000      5092.826     0.8463205      1.669602  0.0004436316   8.311022E-18  1.033127E-18       8.044532      4.906179     0.6978327      5091.406     0.8359531      14.07472      2.745406  4.074546E-19
 20      729.0000      257.7520      39.00000      1049.000      5092.779     0.9470683      1.669577  0.0004964425   8.179948E-18  1.095581E-18       7.466312      4.828847     0.7278118      5091.241      1.041536      14.54690      3.336045  4.292366E-19
 21      729.0000      257.7520      41.00000      1049.000      5092.810     0.9053627      1.669593  0.0004745809   8.095263E-18  1.070224E-18       7.564081      4.778827     0.7129311      5091.234     0.9287998      13.52685      2.375827  4.366846E-19
 22      729.0000      257.7520      43.00000      1049.000      5092.855     0.8215896      1.669617  0.0004306680   8.237683E-18  1.085510E-18       7.588767      4.862858     0.7236147      5091.204     0.8018269      13.50064      2.709921  4.502921E-19
 23      729.0000      257.7520      45.00000      1049.000      5092.835     0.9818894      1.669607  0.0005146953   8.177066E-18  1.176632E-18       6.949551      4.827093     0.7705828      5091.227      1.021122      13.39339      2.960787  4.643830E-19
 24      729.0000      257.7520      47.00000      1049.000      5093.024     0.7945558      1.669706  0.0004164972   8.278501E-18  1.108422E-18       7.468727      4.886791     0.7363570      5091.381     0.9419433      13.80442      2.901388  4.895423E-19
 25      729.0000      257.7520      49.00000      1049.000      5092.786     0.7041253      1.669581  0.0003690945   8.711174E-18  1.136020E-18       7.668152      5.142438     0.7590121      5091.283     0.7919796      13.83407      2.570373  5.264682E-19
 26      729.0000      257.7520      51.00000      1049.000      5092.841     0.6817458      1.669610  0.0003573635   8.596156E-18  1.196163E-18       7.186442      5.074485     0.7884486      5091.291     0.8699670      13.37440      2.812706  5.042243E-19
