 AP       XCENTER       YCENTER        APSIZE       PIXPEAK          WAVE       WAVEERR             Z          ZERR        SIGNAL         NOISE         RATIO      BBEWREST   BBEWRESTERR       WAVEFIT    WAVEFITERR          FWHM       FWHMERR          FLIM
 28      714.0000      187.1910      55.00000      712.0000      4382.210     0.5171980      1.671314  0.0003152743  2.107658E-17  1.278941E-18      16.47971      12.43400      1.143697      4382.701     0.2320036      11.20512     0.5504938  5.807259E-19
 29      714.0000      187.1910      57.00000      712.0000      4382.217     0.4752871      1.671318  0.0002897262  2.037603E-17  1.253893E-18      16.25021      12.02069      1.112504      4382.538     0.2379285      11.05220     0.5949437  5.924291E-19
 30      714.0000      187.1910      59.00000      712.0000      4382.260     0.3693897      1.671344  0.0002251731  2.133899E-17  1.324682E-18      16.10876      12.58866      1.169603      4382.649     0.2741615      11.14631     0.6662156  6.002018E-19
 31      714.0000      187.1910      61.00000      712.0000      4382.167     0.5203746      1.671287  0.0003172107  2.070680E-17  1.297431E-18      15.95985      12.21597      1.139716      4382.630     0.2775521      10.87967     0.5747563  6.068165E-19
 32      714.0000      187.1910      63.00000      712.0000      4382.158     0.4346633      1.671282  0.0002649627  2.048588E-17  1.307662E-18      15.66604      12.08566      1.137145      4382.557     0.2647405      10.90413     0.5372545  6.273358E-19
 33      714.0000      187.1910      65.00000      712.0000      4382.238     0.3714722      1.671331  0.0002264425  2.120054E-17  1.368025E-18      15.49718      12.50704      1.182712      4382.636     0.2811363      10.91941     0.6381314  6.306060E-19
 34      714.0000      187.1910      67.00000      712.0000      4382.198     0.3429429      1.671306  0.0002090516  2.004574E-17  1.136402E-18      17.63965      11.82589      1.057227      4382.608     0.2039771      10.56278     0.4832726  6.583200E-19
 35      714.0000      187.1910      69.00000      712.0000      4382.274     0.3810329      1.671353  0.0002322706  2.120216E-17  1.336091E-18      15.86879      12.50790      1.169977      4382.733     0.2860446      10.81862     0.6197331  6.538653E-19
 36      714.0000      187.1910      71.00000      712.0000      4382.231     0.3398730      1.671327  0.0002071803  1.947456E-17  1.192000E-18      16.33772      11.48884      1.060767      4382.547     0.2424959      10.31767     0.5057811  6.845914E-19
 37      714.0000      187.1910      73.00000      712.0000      4382.251     0.4864615      1.671339  0.0002965379  2.084580E-17  1.427763E-18      14.60032      12.29773      1.196712      4382.640     0.2778425      10.81452     0.6735784  6.773294E-19
 38      714.0000      187.1910      75.00000      712.0000      4382.198     0.3385985      1.671306  0.0002064034  2.037566E-17  1.362050E-18      14.95955      12.02052      1.155907      4382.611     0.2434127      10.51699     0.5581329  6.772463E-19
 39      714.0000      187.1910      77.00000      712.0000      4382.294     0.4958555      1.671365  0.0003022643  2.089934E-17  1.370960E-18      15.24431      12.32919      1.174939      4382.672     0.2647445      10.80416     0.6657904  6.864553E-19
 40      714.0000      187.1910      79.00000      712.0000      4382.253     0.4918208      1.671340  0.0002998048  2.066821E-17  1.449729E-18      14.25660      12.19296      1.200773      4382.631     0.3037681      10.87573     0.5816983  7.114389E-19
 41      714.0000      187.1910      81.00000      712.0000      4382.194     0.4028109      1.671304  0.0002455460  1.942205E-17  1.219087E-18      15.93163      11.45796      1.069850      4382.572     0.2068220      10.33300     0.4786501  7.264151E-19
